WAV Files

Path	Format Tag	Num Channels	Channel Mask	Sample Rate	Avg Bytes Per Sec	Block Align	Bit Depth	Num Samples
\SFX\Whale Call High (echo) 14.wav	0xFFFE	2	0x00000003	96000	576000	6	24	524288
\SFX\Whale Call-Answer Close (echo) 7.wav	0xFFFE	2	0x00000003	96000	576000	6	24	868864
\SFX\WINDDsgn_EXT, Eye Of The Storm_344 Audio_Extreme Winds Vol 1.wav	0xFFFE	2	0x00000003	192000	1152000	6	24	34594560
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Jump Barefoot Male - 11.wav	0xFFFE	1	0x00000004	96000	288000	3	24	60928
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Land Barefoot Male - 1.wav	0xFFFE	1	0x00000004	96000	288000	3	24	61952
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Run Barefoot Male - 1.wav	0xFFFE	1	0x00000004	96000	288000	3	24	26624
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Run Barefoot Male - 10.wav	0xFFFE	1	0x00000004	96000	288000	3	24	30208
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Run Barefoot Male - 17.wav	0xFFFE	1	0x00000004	96000	288000	3	24	40960
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Walk Barefoot Male - 2.wav	0xFFFE	1	0x00000004	96000	288000	3	24	40960
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Walk Barefoot Male - 24.wav	0xFFFE	1	0x00000004	96000	288000	3	24	43520
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Board Walk Barefoot Male - 27.wav	0xFFFE	1	0x00000004	96000	288000	3	24	44032
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Jump Barefoot Male - 3.wav	0xFFFE	1	0x00000004	96000	288000	3	24	60928
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Land Barefoot Male - 5.wav	0xFFFE	1	0x00000004	96000	288000	3	24	65024
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Rattle Barefoot Male - 18.wav	0xFFFE	1	0x00000004	96000	288000	3	24	28672
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Run Barefoot Male - 14.wav	0xFFFE	1	0x00000004	96000	288000	3	24	26624
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Run Barefoot Male - 17.wav	0xFFFE	1	0x00000004	96000	288000	3	24	31744
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Run Barefoot Male - 21.wav	0xFFFE	1	0x00000004	96000	288000	3	24	26112
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Slide Barefoot Male - 16.wav	0xFFFE	1	0x00000004	96000	288000	3	24	45056
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Walk Barefoot Male - 1.wav	0xFFFE	1	0x00000004	96000	288000	3	24	49152
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Walk Barefoot Male - 13.wav	0xFFFE	1	0x00000004	96000	288000	3	24	33280
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Grill Walk Barefoot Male - 15.wav	0xFFFE	1	0x00000004	96000	288000	3	24	28672
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Jump Barefoot Male - 17.wav	0xFFFE	1	0x00000004	96000	288000	3	24	67072
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Land Barefoot Male - 1.wav	0xFFFE	1	0x00000004	96000	288000	3	24	74752
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Run Barefoot Male - 12.wav	0xFFFE	1	0x00000004	96000	288000	3	24	26112
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Run Barefoot Male - 14.wav	0xFFFE	1	0x00000004	96000	288000	3	24	38912
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Run Barefoot Male - 17.wav	0xFFFE	1	0x00000004	96000	288000	3	24	37888
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Slide Barefoot Male - 11.wav	0xFFFE	1	0x00000004	96000	288000	3	24	59904
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Walk Barefoot Male - 1.wav	0xFFFE	1	0x00000004	96000	288000	3	24	59392
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Walk Barefoot Male - 2.wav	0xFFFE	1	0x00000004	96000	288000	3	24	54272
\SFX\Timothy McHugh -  Barefoot on Metal\FOOTSTEP - Metal Plate Walk Barefoot Male - 3.wav	0xFFFE	1	0x00000004	96000	288000	3	24	56320
